danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.279,0.468,-16.131,0.0533,0.422,0.923,0.209,0.162,110.975,7qOmX20dAYib9GAg4687nL,120267,2.0
0.429,0.122,-22.612,0.0397,0.975,0.604,0.406,0.423,147.031,2FqnKEZbpsgwQaTZHCQW3V,146160,1.0
0.227,0.164,-21.03,0.0455,0.923,0.875,0.0971,0.0983,138.54,7gzZXFstqZYlw048iS0VpL,876853,1.0
0.325,0.0067,-29.804,0.0417,0.995,0.903,0.0895,0.114,71.5,3mdkQyyPL3HO5qUuTPXU81,142200,1.0
0.212,0.129,-13.657,0.034,0.929,0.77,0.0816,0.088,177.946,0RlrOg8aIn7ahpTXMTHe7n,720747,1.0
0.36,0.323,-11.48,0.0423,0.925,0.864,0.112,0.168,133.8,5Aawgr61W3BoeXHFhw5pvH,384827,1.0
0.341,0.171,-14.798,0.039,0.969,0.919,0.065,0.122,124.511,6fx55SOpRazmKqYqBDfP6B,385680,3.0
0.559,0.857,-7.691,0.0403,0.00909,0.729,0.331,0.898,129.442,08yJF4pQmewGWe31okhwW7,155202,3.0
0.815,0.764,-12.247,0.0384,0.14,0.912,0.09,0.787,95.588,6zOiL6wKbi7R1xUtaM1LGN,141713,2.0
0.642,0.0982,-18.11,0.0418,0.95,0.929,0.109,0.148,65.959,34xZ02YHLJm2b7LwhDDJkY,155767,2.0
0.315,0.148,-18.038,0.0395,0.747,0.809,0.106,0.142,179.053,6ZKvcQBvH3qdVrslowNW74,125543,3.0
0.396,0.429,-12.497,0.039,0.136,0.869,0.102,0.356,175.356,139MNorLVp7exK60godHrp,170265,3.0
0.67,0.784,-12.265,0.0601,0.444,0.926,0.207,0.965,153.318,6IeTWZweFLRPOXxAU83slA,108460,1.0
0.359,0.371,-15.781,0.0322,0.826,0.448,0.153,0.439,82.31,4R277YG9I3iw2Xn0ijUveI,192730,3.0
0.332,0.966,-9.234,0.0585,0.401,0.884,0.0534,0.67,189.824,7vcs047n8E4fruw3FvUft3,189700,2.0
